id,nickname
2000010000,流星轨迹
2000010001,雪山之巅
2000010002,夜空繁星
2000010003,翡翠幻影
2000010004,破晓曙光
2000010005,密林幽径
2000010006,晨曦微光
2000010007,烈焰之心
2000010008,冰川极光
2000010009,风暴之眼
2000010010,碧海苍穹
2000010011,幻影刺客
2000010012,黑夜骑士
2000010013,暗夜幽灵
2000010014,青铜战神
2000010015,红莲火焰
2000010016,银河漫步
2000010017,灵魂画师
2000010018,时空旅者
2000010019,紫电狂飙
2000010020,深海独行者
2000010021,云中漫步
2000010022,青石古道
2000010023,龙翔九天
2000010024,月影剑士
2000010025,极夜星辰
2000010026,烈风疾走
2000010027,紫晶梦境
2000010028,翡翠森林
2000010029,幽蓝幻影
2000010030,狂沙风暴
2000010031,彩虹之上
2000010032,烈阳炽热
2000010033,魔法使徒
2000010034,落日余晖
2000010035,寒冰之刃
2000010036,翡翠之翼
2000010037,燃烧火山
2000010038,暗影猎手
2000010039,雷霆之怒
2000010040,绿野仙踪
2000010041,飞雪连天
2000010042,青铜狮鹫
2000010043,沙漠之鹰
2000010044,星辰大海
2000010045,月光守护者
2000010046,蓝色极光
2000010047,漫步云端
2000010048,翡翠之梦
2000010049,紫色幻影
2000010050,暴风雪
2000010051,银河战士
2000010052,金色晨曦
2000010053,极光使者
2000010054,沙漠行者
2000010055,烈火凤凰
2000010056,星辰骑士
2000010057,幽灵猎人
2000010058,雷鸣闪电
2000010059,绿野仙踪
2000010060,月之使者
2000010061,紫罗兰之梦
2000010062,碧水长歌
2000010063,时光旅者
2000010064,烈焰狂风
2000010065,极地勇士
2000010066,雪域飞鹰
2000010067,深海探索者
2000010068,彩虹尽头
2000010069,风暴之王
2000010070,翡翠梦境
2000010071,烈焰战神
2000010072,星空守护者
2000010073,紫电追风
2000010074,暮色之城
2000010075,幽灵行者
2000010076,雷霆破晓
2000010077,碧空如洗
2000010078,极夜之光
2000010079,绿野清风
2000010080,烈火之心
2000010081,星辰大海
2000010082,紫色星辰
2000010083,暗夜使者
2000010084,碧波荡漾
2000010085,烈焰风暴
2000010086,月之舞者
2000010087,紫水晶之梦
2000010088,翡翠幽灵
2000010089,雷霆之翼
2000010090,彩虹之上
2000010091,烈阳战神
2000010092,幽蓝之影
2000010093,极光使者
2000010094,雪域孤狼
2000010095,星辰幻影
2000010096,紫电狂飙
2000010097,沙漠之风
2000010098,绿野猎手
2000010099,烈火行者
2000010100,星际漫游者
2000010101,雪落无声
2000010102,风语者
